----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
     time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo 
03-03 21:52:21|  0   0 100   0   0| 386M   22G 2096k 1118M|1069k   13k|   0     0 |   0     0 | 337   356 |0.50 0.42 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:22|  0   0 100   0   0| 387M   22G 2096k 1119M|1591k   17k|   0  5432k|   0  7.00 | 426   475 |0.50 0.42 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:23|  0   0 100   0   0| 386M   22G 2096k 1120M| 875k 9080 |   0     0 |   0     0 | 291   275 |0.50 0.42 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:24|  0   0 100   0   0| 386M   22G 2096k 1121M| 261k 3795 |   0     0 |   0     0 | 182   151 |0.50 0.42 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:25|  0   0 100   0   0| 386M   22G 2096k 1122M|1149k   12k|   0     0 |   0     0 | 345   345 |0.50 0.42 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:26|  0   0 100   0   0| 386M   22G 2096k 1124M|2130k   21k|   0     0 |   0     0 | 509   651 |0.46 0.41 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:27|  0   0 100   0   0| 386M   22G 2096k 1125M|1034k   11k|   0  2389k|   0  4.00 | 326   306 |0.46 0.41 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:28|  0   0  99   0   0| 387M   22G 2096k 1136M|  12M  106k|   0     0 |   0     0 |2178  2696 |0.46 0.41 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:29|  1   0  99   0   0| 386M   22G 2096k 1139M|2623k   26k|   0     0 |   0     0 | 619   734 |0.46 0.41 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:30|  1   0  99   0   0| 387M   22G 2096k 1147M|9135k   87k|   0     0 |   0     0 |1611  2380 |0.46 0.41 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:31|  0   0 100   0   0| 387M   22G 2096k 1148M| 666k 8822 |   0     0 |   0     0 | 255   262 |0.42 0.40 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:32|  1   1  98   0   0| 386M   22G 2096k 1165M|  18M  173k|   0  3552k|   0  7.00 |3142  4690 |0.42 0.40 0.18|1.0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:33|  1   1  98   0   0| 386M   22G 2096k 1181M|  17M  158k|   0     0 |   0     0 |3129  4523 |0.42 0.40 0.18|  0   0   0|   0     0 |   0     0 |  2    4    0    0    0 
03-03 21:52:34|  7   1  92   0   0| 402M   22G 2096k 1184M|3507k   32k|   0  3318k|   0   226 |1428  1213 |0.42 0.40 0.18|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:35| 12   0  87   0   0| 402M   22G 2096k 1184M| 104     0 |   0     0 |   0     0 |1184   286 |0.42 0.40 0.18|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:36| 10   1  88   1   0| 409M   22G 2096k 1186M|  52     0 |2764k 8220k| 580   940 |4142  5931 |0.47 0.41 0.18|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:37| 10   1  87   1   0| 405M   22G 2096k 1187M| 104     0 |8191B   19M|2.00  1668 |4407  6123 |0.47 0.41 0.18|2.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:38| 12   1  88   0   0| 410M   22G 2096k 1187M|  52     0 |   0     0 |   0     0 |1216   353 |0.47 0.41 0.18|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:39| 11   1  87   0   0| 411M   22G 2096k 1205M| 104     0 | 116k 1551k|29.0   205 |1730  1338 |0.47 0.41 0.18|  0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:40| 11   2  88   0   0| 413M   22G 2096k 1227M|  52     0 |  12k 4527k|3.00   787 |2655  3121 |0.47 0.41 0.18|1.0   0 3.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:41| 11   1  87   0   0| 412M   22G 2096k 1247M| 104     0 |   0  1806k|   0   275 |1752  1478 |0.51 0.42 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:42| 12   1  88   0   0| 413M   22G 2096k 1281M|  52     0 |  16k   11M|4.00   200 |1630  1069 |0.51 0.42 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:43|  9   3  87   0   0| 487M   22G 2096k 1324M| 104     0 |  92k   11M|19.0   352 |1980  1630 |0.51 0.42 0.19|1.0   0 6.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:44|  6   6  87   0   0| 429M   22G 2096k 1317M|  52     0 |   0  6916k|   0   313 |2235   895 |0.51 0.42 0.19|1.0   0 7.0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:45| 12   1  87   0   0| 551M   21G 2096k 1317M| 104     0 |   0     0 |   0     0 |1296   527 |0.51 0.42 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:46| 12   0  88   0   0| 598M   21G 2096k 1317M|  52     0 |   0     0 |   0     0 |1170   255 |0.55 0.43 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:47| 13   0  87   0   0| 598M   21G 2096k 1317M| 104     0 |   0    10M|   0  18.0 |1099   105 |0.55 0.43 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:48| 13   0  88   0   0| 606M   21G 2096k 1317M|  52     0 |   0     0 |   0     0 |1077    69 |0.55 0.43 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:49| 12   0  87   0   0| 606M   21G 2096k 1317M| 104     0 |   0     0 |   0     0 |1074    70 |0.55 0.43 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:50| 13   0  87   0   0| 606M   21G 2096k 1317M|  52     0 |   0     0 |   0     0 |1091    98 |0.55 0.43 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:51| 12   0  87   0   0| 606M   21G 2096k 1317M| 104     0 |   0     0 |   0     0 |1071    71 |0.59 0.44 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:52| 12   0  87   0   0| 606M   21G 2096k 1317M|  52     0 |   0     0 |   0     0 |1084    81 |0.59 0.44 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:53| 13   0  87   0   0| 606M   21G 2096k 1317M| 104     0 |   0    11M|   0  17.0 |1117   101 |0.59 0.44 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:54| 12   0  87   0   0| 612M   21G 2096k 1317M|  52     0 |   0     0 |   0     0 |1086    85 |0.59 0.44 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:55| 12   0  87   0   0| 624M   21G 2096k 1317M| 104     0 |   0     0 |   0     0 |1074    72 |0.59 0.44 0.19|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:56| 12   0  87   0   0| 628M   21G 2096k 1317M|  52     0 |   0     0 |   0     0 |1074    71 |0.62 0.45 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:57| 12   0  87   0   0| 630M   21G 2096k 1309M| 104     0 |   0  1102k|   0  28.0 |1136   153 |0.62 0.45 0.20|1.0   0   0|   0     0 |   0     0 |  2    1    0    3    0 
03-03 21:52:58| 11   2  87   0   0| 430M   22G 2096k 1291M|  52     0 |   0    24M|   0  40.0 |1374   318 |0.62 0.45 0.20|1.0   0 5.0|   0     0 |   0     0 |  2    1    0    3    0 
